seed,roc_auc,recall,f1_score
1,0.49269994573167203,0.4873323397913562,0.5153664302600472
2,0.5031445328103006,0.5230998509687034,0.5412490362374711
3,0.4920856392781485,0.4798807749627422,0.5070866141732283
4,0.5040949172339131,0.4992548435171386,0.5242566510172144
5,0.47334516033949386,0.4843517138599106,0.507416081186573
6,0.5050480563949853,0.47391952309985097,0.5104333868378812
7,0.48903614491020936,0.5081967213114754,0.525828835774865
8,0.4905402315632308,0.5126676602086438,0.5255920550038197
9,0.49478941409488975,0.496274217585693,0.524822695035461
10,0.50771188751856,0.5022354694485842,0.5307086614173229
11,0.49065730790527007,0.511177347242921,0.5301391035548686
12,0.5097200911267152,0.5096870342771982,0.5327102803738317
13,0.5260240047822242,0.5365126676602087,0.5529953917050692
14,0.5126773017897529,0.5022354694485842,0.5315457413249212
15,0.5132599287624893,0.5067064083457526,0.5375494071146245
16,0.4971791488412197,0.4932935916542474,0.521259842519685
17,0.4928872678789348,0.5201192250372578,0.536923076923077
18,0.5092049552217426,0.4947839046199702,0.5232466509062254
19,0.4899548498530347,0.5096870342771982,0.5314685314685315
20,0.4890995038717835,0.5067064083457526,0.5283605283605284
21,0.5056348154739113,0.5424739195230999,0.5506807866868382
22,0.4791190900551223,0.481371087928465,0.5058731401722788
23,0.474875416998383,0.4947839046199702,0.5143299767621998
24,0.5085300445441048,0.5484351713859911,0.5571536714610144
25,0.47968656597183007,0.4783904619970194,0.5103338632750397
26,0.47505034282707687,0.4992548435171386,0.517774343122102
27,0.514849412276763,0.518628912071535,0.5446009389671361
28,0.49046860838927747,0.4873323397913562,0.5129411764705882
29,0.4939244265325293,0.4977645305514158,0.5186335403726708
30,0.5017561451305883,0.481371087928465,0.5151515151515151
31,0.52085611730774,0.4858420268256334,0.5199362041467305
32,0.5104266812851401,0.5081967213114754,0.5242121445042275
33,0.47905573109354815,0.481371087928465,0.5094637223974764
34,0.499293409841575,0.5290611028315947,0.5423987776928954
35,0.4693397720730226,0.503725782414307,0.5168195718654435
36,0.5062491219274348,0.503725782414307,0.5322834645669291
37,0.5066747288649655,0.4873323397913562,0.5232
38,0.497023506174744,0.5022354694485842,0.5249221183800623
39,0.4807857062182689,0.47242921013412814,0.5055821371610846
40,0.49405389919313736,0.5141579731743666,0.5243161094224924
41,0.5058414207833922,0.5052160953800298,0.5243619489559165
42,0.4803339292748705,0.4783904619970194,0.5051140833988985
43,0.5032437033588514,0.5156482861400894,0.5360185902401239
44,0.4930511747577897,0.5171385991058122,0.5309869931140015
45,0.5086195735115465,0.4977645305514158,0.5276461295418642
46,0.4926104167642303,0.4932935916542474,0.5200314218381775
47,0.507462583778453,0.511177347242921,0.529320987654321
48,0.47172399734443315,0.4798807749627422,0.5043069694596711
49,0.5140946142127925,0.4843517138599106,0.5258899676375405
50,0.4752776086675059,0.4977645305514158,0.517829457364341
