seed,roc_auc,pr_auc,h_measure,recall,f1_score
1,0.5271052392351747,0.5710500189838819,0.5268724639198261,0.16095380029806258,0.25806451612903225
2,0.5011198007773868,0.5552477947739587,0.5116112183928311,0.13412816691505217,0.2192448233861145
3,0.5061292908479358,0.5553727683329257,0.5088674998829237,0.14157973174366617,0.22809123649459784
4,0.5054061722647524,0.562853893305345,0.5172487886042021,0.11177347242921014,0.18915510718789408
5,0.4991680692871566,0.5551956801283809,0.5063661982694739,0.11326378539493294,0.18929016189290163
6,0.5026679632297643,0.556375560155082,0.5069612215607792,0.12369597615499255,0.20393120393120392
7,0.5182225882962224,0.5703036588477083,0.5242499538581475,0.15201192250372578,0.24548736462093862
8,0.5211426100035536,0.5678565684891135,0.528276002655567,0.14307004470938897,0.23587223587223588
9,0.50803832390754,0.5640058159704963,0.5142048037111823,0.13561847988077497,0.22195121951219512
10,0.495024944147698,0.5499454993825315,0.5045053731154152,0.11773472429210134,0.1941031941031941
11,0.5211908179090992,0.5729916871145847,0.5234758726319588,0.14307004470938897,0.23386114494518878
12,0.502544000044076,0.5549312601029472,0.5076650569817444,0.11177347242921014,0.18541409147095178
13,0.5032726281021788,0.5582076969016925,0.5128646239370156,0.12667660208643816,0.20884520884520885
14,0.5010481776034336,0.55663630192889,0.5082022307863949,0.13114754098360656,0.21204819277108433
15,0.527503298798108,0.5669835410815436,0.5191550669263466,0.12369597615499255,0.20724094881398253
16,0.5010715928718413,0.5592652097038301,0.5089019341011705,0.10283159463487332,0.17534942820838628
17,0.515174471297013,0.5642366489183065,0.5167983890295336,0.13710879284649777,0.22466422466422467
18,0.5211026663103874,0.5685651661605209,0.5236260058235149,0.13263785394932937,0.22057001239157373
19,0.4980785706218269,0.5533171916938383,0.5045177694339841,0.11773472429210134,0.19530284301606923
20,0.5118811826638863,0.5646384799870485,0.5143838616460659,0.13412816691505217,0.21978021978021978
21,0.5164347636848471,0.5673895231041902,0.5160243078033449,0.12816691505216096,0.2120838471023428
22,0.4986515560134541,0.5553564768404239,0.5041761819889756,0.11922503725782414,0.19704433497536947
23,0.5051775290555932,0.5592749308423113,0.5111663282930821,0.11177347242921014,0.18867924528301888
24,0.5200448471258448,0.5665751122563544,0.5186757426083507,0.14456035767511177,0.23486682808716708
25,0.50618989507205,0.5609394056574952,0.5122062416841363,0.14456035767511177,0.23289315726290516
26,0.5269330681439406,0.5719739216358475,0.5344163124533416,0.15052160953800298,0.24724602203182375
27,0.5194828806840565,0.5659877134569544,0.5218065017313525,0.14157973174366617,0.231990231990232
28,0.4977149452771405,0.5601060553767613,0.5063772172193128,0.11624441132637854,0.19283065512978986
29,0.5146772411855288,0.5625316106374078,0.5178727366388346,0.12816691505216096,0.21313506815365552
30,0.507125128439634,0.5631789028827922,0.5087972540777002,0.11922503725782414,0.19704433497536947
31,0.5180035866681725,0.5716026404487842,0.5190338584781178,0.14157973174366617,0.23114355231143552
32,0.5290514612504855,0.5740891902727043,0.5306616052957074,0.13710879284649777,0.22885572139303484
33,0.5209511557501012,0.5711618250067173,0.5210902699918184,0.14754098360655737,0.23941958887545345
34,0.5083372129219226,0.5620643144399914,0.5107159287184135,0.13859910581222057,0.2243667068757539
35,0.49821630749481427,0.5533789707440803,0.5065617846291159,0.11177347242921014,0.18472906403940886
36,0.49126197277768435,0.5480426249628692,0.5039516708860062,0.11326378539493294,0.1890547263681592
37,0.5074267721914764,0.5563110480683494,0.5117613515843873,0.13263785394932937,0.21707317073170732
38,0.5195352206957915,0.5681661231791757,0.5197500902176517,0.13263785394932937,0.21948212083847102
39,0.5300652046356722,0.5743220019458382,0.5268146144331715,0.14456035767511177,0.2371638141809291
40,0.5216494816961469,0.5635915012895323,0.5159829867414486,0.13710879284649777,0.22303030303030302
41,0.5177184713410888,0.564582499517975,0.5249372608543543,0.13859910581222057,0.229064039408867
42,0.5065507656792769,0.5612775235468025,0.5134307224849936,0.12667660208643816,0.20987654320987653
43,0.506973617879348,0.5645198377260091,0.5167405395428788,0.12220566318926974,0.20474406991260924
44,0.5166578974190865,0.5685608416533746,0.5182887019952563,0.14307004470938897,0.2324455205811138
45,0.4988168402610391,0.5552904148704916,0.5015371435025384,0.11028315946348734,0.1843088418430884
46,0.5151772260344728,0.56804580315325,0.522343675536003,0.13710879284649777,0.22632226322263221
47,0.5138425557352256,0.5624528824671593,0.5139678962896441,0.12369597615499255,0.2057001239157373
48,0.5228367735412977,0.5687164757083727,0.5192129164130013,0.14307004470938897,0.2324455205811138
49,0.5319232750522711,0.5715603925687635,0.5299742982995006,0.15052160953800298,0.2454434993924666
50,0.49809509904658533,0.5570964264637238,0.5082311555297223,0.11028315946348734,0.18362282878411912
